2022-04-27 10:29:58,783 INFO  [restartedMain] com.bank.bremen.BremenbankApplication:Starting BremenbankApplication using Java 11.0.12 on LAPTOP-5IIJLC1U with PID 21932 (C:\Users\Asim\IdeaProjects\bremenbank\target\classes started by Asim in C:\Users\Asim\IdeaProjects\bremenbank)
2022-04-27 10:29:58,791 INFO  [restartedMain] com.bank.bremen.BremenbankApplication:No active profile set, falling back to 1 default profile: "default"
2022-04-27 10:29:58,883 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-27 10:29:58,884 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-27 10:30:00,334 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-27 10:30:00,453 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 108 ms. Found 6 JPA repository interfaces.
2022-04-27 10:30:01,744 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat initialized with port(s): 8080 (http)
2022-04-27 10:30:01,761 INFO  [restartedMain] org.apache.catalina.core.StandardService:Starting service [Tomcat]
2022-04-27 10:30:01,761 INFO  [restartedMain] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-04-27 10:30:01,905 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
2022-04-27 10:30:01,905 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:Root WebApplicationContext: initialization completed in 3020 ms
2022-04-27 10:30:02,299 INFO  [restartedMain] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
